neighbourhood_group_cleansed,neighbourhood_cleansed,property_type,room_type,bedrooms,bathrooms,guests_included,price,lnprice
Manhattan,Midtown,Apartment,Entire home/apt,0,1,1,225,5.41610040220442
Brooklyn,Clinton Hill,Guest suite,Entire home/apt,1,1,1,89,4.48863636973214
Manhattan,Murray Hill,Apartment,Entire home/apt,1,1,2,200,5.298317366548036
Manhattan,Hell's Kitchen,Apartment,Private room,1,1,1,79,4.3694478524670215
Manhattan,Upper West Side,Apartment,Private room,1,1,1,79,4.3694478524670215
Manhattan,Chinatown,Apartment,Entire home/apt,1,1,2,150,5.0106352940962555
Manhattan,Hell's Kitchen,Apartment,Private room,1,1,1,99,4.59511985013459
Manhattan,West Village,Apartment,Entire home/apt,1,1,2,160,5.075173815233827
Brooklyn,South Slope,Townhouse,Private room,1,1.5,1,89,4.48863636973214
Manhattan,Upper West Side,Apartment,Private room,1,1,1,85,4.442651256490317
Manhattan,West Village,Apartment,Entire home/apt,1,1,1,120,4.787491742782046
Manhattan,East Harlem,Apartment,Private room,1,1,1,65,4.174387269895637
Brooklyn,Fort Greene,Apartment,Entire home/apt,1,1,1,144,4.969813299576001
Manhattan,East Harlem,Apartment,Entire home/apt,1,1,1,50,3.912023005428146
Brooklyn,Park Slope,House,Private room,4,2.5,1,32,3.4657359027997265
Brooklyn,Bedford-Stuyvesant,Loft,Entire home/apt,1,1,4,120,4.787491742782046
Manhattan,Inwood,Apartment,Private room,1,1,1,80,4.382026634673881
Manhattan,East Village,Apartment,Entire home/apt,1,1,1,175,5.1647859739235145
Manhattan,Harlem,Apartment,Private room,1,1,1,50,3.912023005428146
Manhattan,Harlem,Apartment,Private room,1,1,1,52,3.9512437185814275
Manhattan,Harlem,Apartment,Private room,1,1,1,50,3.912023005428146
Brooklyn,Bedford-Stuyvesant,Apartment,Private room,1,1,1,70,4.248495242049359
Brooklyn,South Slope,Townhouse,Private room,1,1,1,89,4.48863636973214
Brooklyn,Bushwick,Apartment,Entire home/apt,1,1,2,85,4.442651256490317
Brooklyn,Flatbush,House,Private room,1,1,1,150,5.0106352940962555
Manhattan,Lower East Side,Apartment,Shared room,1,1.5,1,40,3.6888794541139363
Manhattan,East Village,Apartment,Private room,1,1,1,59,4.07753744390572
Manhattan,Harlem,Apartment,Entire home/apt,1,1,2,150,5.0106352940962555
Brooklyn,Prospect-Lefferts Gardens,Apartment,Entire home/apt,1,1,2,150,5.0106352940962555
Queens,Long Island City,Townhouse,Private room,1,1,2,130,4.867534450455582
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,1,1,2,110,4.700480365792417
Brooklyn,Bedford-Stuyvesant,Townhouse,Entire home/apt,2,1,4,120,4.787491742782046
Brooklyn,Fort Greene,Apartment,Private room,1,1,1,80,4.382026634673881
Brooklyn,Bedford-Stuyvesant,Townhouse,Private room,1,1,4,80,4.382026634673881
Brooklyn,Williamsburg,Loft,Entire home/apt,2,1,2,228,5.429345628954441
Brooklyn,Greenpoint,Apartment,Entire home/apt,1,1,2,149,5.003946305945459
Manhattan,Kips Bay,Apartment,Entire home/apt,1,1,1,200,5.298317366548036
Brooklyn,Williamsburg,Apartment,Entire home/apt,1,1,2,150,5.0106352940962555
Manhattan,Lower East Side,Apartment,Private room,1,1,1,110,4.700480365792417
Manhattan,Hell's Kitchen,Apartment,Private room,1,0.5,1,69,4.23410650459726
Manhattan,Nolita,Condominium,Entire home/apt,1,1,2,180,5.19295685089021
Brooklyn,Williamsburg,Apartment,Private room,1,1,1,90,4.499809670330265
Manhattan,Chelsea,Apartment,Entire home/apt,2,2,1,400,5.991464547107982
Manhattan,Upper East Side,Apartment,Entire home/apt,2,1,6,200,5.298317366548036
Brooklyn,Red Hook,House,Private room,1,1,1,89,4.48863636973214
Manhattan,East Village,Apartment,Entire home/apt,1,1,1,130,4.867534450455582
Brooklyn,Prospect Heights,Condominium,Entire home/apt,4,2,2,200,5.298317366548036
Brooklyn,Clinton Hill,Apartment,Private room,1,1,1,45,3.8066624897703196
Manhattan,Hell's Kitchen,Apartment,Private room,1,1,1,100,4.605170185988092
Brooklyn,Park Slope,Condominium,Entire home/apt,2,2,1,225,5.41610040220442
Manhattan,East Village,Condominium,Private room,1,1,1,80,4.382026634673881
Brooklyn,Williamsburg,Loft,Entire home/apt,1,1,1,320,5.768320995793772
Manhattan,East Village,Apartment,Private room,1,1,1,99,4.59511985013459
Manhattan,East Harlem,Loft,Entire home/apt,4,2,4,225,5.41610040220442
Manhattan,East Village,Apartment,Entire home/apt,1,1,1,250,5.521460917862246
Manhattan,Washington Heights,Apartment,Private room,1,1,1,65,4.174387269895637
Brooklyn,Clinton Hill,Apartment,Private room,1,1,1,105,4.653960350157523
Manhattan,East Village,Apartment,Entire home/apt,1,1,1,170,5.135798437050262
Queens,Woodside,Condominium,Private room,1,1,1,90,4.499809670330265
Brooklyn,Fort Greene,Apartment,Private room,1,1.5,2,95,4.553876891600541
Manhattan,Chelsea,Loft,Private room,1,1.5,1,150,5.0106352940962555
Manhattan,Harlem,Apartment,Entire home/apt,2,1,2,110,4.700480365792417
Manhattan,Lower East Side,Apartment,Entire home/apt,2,1,2,285,5.652489180268651
Brooklyn,Flatbush,Apartment,Entire home/apt,1,2,3,130,4.867534450455582
Manhattan,East Village,Apartment,Private room,1,1,1,50,3.912023005428146
Brooklyn,Prospect Heights,House,Private room,1,1.5,1,85,4.442651256490317
Brooklyn,Prospect Heights,Townhouse,Entire home/apt,1,1,1,135,4.90527477843843
Brooklyn,Clinton Hill,Townhouse,Private room,1,1,1,98,4.584967478670572
Brooklyn,Williamsburg,Apartment,Entire home/apt,1,1,1,100,4.605170185988092
Brooklyn,Bushwick,Apartment,Entire home/apt,1,1,2,105,4.653960350157523
Manhattan,Upper West Side,Apartment,Entire home/apt,1,1,2,140,4.941642422609304
Manhattan,Harlem,Apartment,Private room,1,1,1,89,4.48863636973214
Manhattan,Chelsea,Apartment,Private room,1,1,1,85,4.442651256490317
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,1,1,1,125,4.8283137373023015
Brooklyn,Carroll Gardens,Apartment,Entire home/apt,2,1,1,175,5.1647859739235145
Manhattan,Harlem,Townhouse,Entire home/apt,2,2,16,200,5.298317366548036
Manhattan,West Village,House,Entire home/apt,3,2,5,500,6.214608098422191
Brooklyn,Williamsburg,Condominium,Private room,1,2,1,101,4.61512051684126
Brooklyn,Park Slope,Apartment,Entire home/apt,4,3,9,220,5.393627546352362
Brooklyn,Bedford-Stuyvesant,Apartment,Entire home/apt,2,1,2,125,4.8283137373023015
Brooklyn,Williamsburg,Apartment,Entire home/apt,1,1,2,80,4.382026634673881
Manhattan,Harlem,Apartment,Private room,1,1,1,100,4.605170185988092
Brooklyn,Clinton Hill,Apartment,Entire home/apt,1,1,1,100,4.605170185988092
