listing_id,comments,review_scores_rating
1439028,"Even though I've never met Miles during my stay, he did help me a lot. When I accidentally locked the room while leaving the key inside, Miles kindly came to help me open the door. And the transportation was very convenient! However,  there were two flaws. One was the bathroom and kitchen were always in a mess cuz other housemates didn't clean their part. The other was one of the housemates was not that friendly. But fortunately, that person was about to move out.",50
1439028,The host canceled this reservation 2 days before arrival. This is an automated posting.,50
1439028,"Unfortunate experience.
I got highly alergic to the dog from the first minutes I entered in the appartment. These ""hypo-alergic"" dogs aren't alergy-free on everyone, so you must consider that there is no garanty that you won't get alergy if you have a minimum of sensitivity. 
.
The place had a perfect location for me, as I was taking a class just 5 minutes walk from there. Unfortunaly, alergies and ashtma got pretty strong after less than an hour after my arrival, so there was no way I could stay longer, for serious health issues.
Although I made my reservation for 5 night only 24 hours before I check in, very last minute, the host refused to revise their cancellation policy considering my health issu and charge my the regular cancelation fees, which is only half of what I paid.... plus of cours airbnb fees.
In other words, I got a tiny refund of what I invested for 5 nights in which I didn't stay there, despite a last minute reservation and most of all, despite a health issu.
.
From my point of view, this is unconsiderate and a way to make money no matter what the visitor is going throught. ""Business is business""....
.
The distant, cold way I felt from Samantha (Miles's roomate, the one who is actually staying there and ""dealed"" with me all the way throught) intereacting with me from the first moment with met, Not provide me a clean pair of sheets on a made bed (I had to ask for it) also made me feel that they are doing a business no matter the human encounter. That is an unfortunate experience I wish would have turned otherwise, but I wish Miles and Samantha all the best.",50
1850695,"The apartment was exactly like the pictures, really close to the subway so it was really easy to move around the city. The room is really big and bright. The only thing is that the heater is old so it makes some noise at night but if your a heavy sleeper you won't even notice it. Roberto was nice he was not at the apartment but he answered all our questions really fast.",50
1850695,The host canceled this reservation 107 days before arrival. This is an automated posting.,50
1850695,The host canceled this reservation 2 days before arrival. This is an automated posting.,50
1850695,"The place was unclean. Bed was just a mattress on the floor, sheets were all wrinkled and sheets seemed unwashed. The blanket that was provided had visible stains on it, so I don’t think it was washed. Towels (only two for two people) were very old and didn’t seem fresh. There was hair left in the bathtub and on the floor in the bathroom (on the tile walls too). Kitchen sick was disgusting and had some pieces of food left in it. Bathroom sink was dirty too. The sofa had some hair and crumbs on it. It was really disappointing that a host rented his place knowing it wasn’t cleaned before.",50
1871261,The reservation was canceled 16 days before arrival. This is an automated posting.,50
1871261,The reservation was canceled 27 days before arrival. This is an automated posting.,50
1871261,"Points positifs : 
Emplacement idéal en plein de centre de Manhattan pour aller dans le nord comme dans le sud ! A 3 blocks de Flatiron et a 5 de l'Empire State Buiding ! 
Points négatifs : locataires pas très accueillants mais surtout locataires pas propres du tout ! 
Poussière dans tous les recoins, salle de bains d'une malpropreté inexcusable pour des jeunes gens ! 
Ils ne font jamais le ménage car les WC et la baignoire sont dans un état insalubre ! 
C'est vraiment dommage car la chambre pour 2 est idéale mais on était la que pour dormir et prendre une douche et sans pomme de douche (avec dégoût je préfère être honnête) !!! 
Pour le prix, on aurait pu au moins avoir de la propreté et un accueil souriant !",50
